,evaluation
NAME,SVM_model
MSE,0.5956033620349678
RMSE,0.771753433445532
R_squared,0.9725077272410911
Adjusted_R_squared,0.9724848415341923
MAE,0.4623544126924014
,evaluation
NAME,Linear_model
MSE,3.7807393926437993
RMSE,1.9444123514943537
R_squared,0.8254860109288431
Adjusted_R_squared,0.8253407382539117
MAE,1.532532407264413
,evaluation
NAME,DTree_model
MSE,0.00023761435190685517
RMSE,0.015414744626715526
R_squared,0.9999890320320696
Adjusted_R_squared,0.9999890229018786
MAE,0.00023761435190685517
,evaluation
NAME,KNN_model
MSE,0.0005655221575383152
RMSE,0.023780709777849678
R_squared,0.9999738962363256
Adjusted_R_squared,0.9999738745064712
MAE,0.0013544018058690738
,evaluation
NAME,RandomForest_model
MSE,0.0003121302126648449
RMSE,0.017667207268406766
R_squared,0.9999855924773265
Adjusted_R_squared,0.9999855804839077
MAE,0.0007366044909112505
,evaluation
NAME,AdaBoost_model
MSE,0.20049380394268146
RMSE,0.44776534473167884
R_squared,0.990745468048349
Adjusted_R_squared,0.9907377641925205
MAE,0.4289201443332959
,evaluation
NAME,GBRT_model
MSE,0.00023782611818255127
RMSE,0.015421612048762658
R_squared,0.9999890222572151
Adjusted_R_squared,0.9999890131188872
MAE,0.000413730889566528
,evaluation
NAME,Bagging_model
MSE,0.00027563264821195194
RMSE,0.016602188054950826
R_squared,0.9999872771572007
Adjusted_R_squared,0.9999872665661792
MAE,0.0006653201853391942
,evaluation
NAME,ExtraTree_model
MSE,0.0043958655102768205
RMSE,0.06630132359370226
R_squared,0.9997970925932871
Adjusted_R_squared,0.9997969236847549
MAE,0.0027325650469288347
